timestamp,ax,ay,az,vx,vy,vz,rms,status
2026-05-02T19:35:31.700,0.323,-0.007,-0.939,,,,0.0,CALIBRATING
2026-05-02T19:35:32.199,0.295,-0.013,-0.917,,,,0.0,CALIBRATING
2026-05-02T19:35:32.700,0.331,-0.055,-0.951,,,,0.0,CALIBRATING
2026-05-02T19:35:33.199,0.314,0.002,-0.937,,,,0.0,CALIBRATING
2026-05-02T19:35:33.701,0.302,0.003,-0.948,-0.005,0.005,-0.009,0.024,NORMAL
2026-05-02T19:35:34.201,0.328,-0.022,-0.935,0.02,-0.02,0.003,0.025,NORMAL
2026-05-02T19:35:34.701,0.304,0.005,-0.956,-0.003,0.008,-0.015,0.023,NORMAL
2026-05-02T19:35:35.201,0.296,-0.003,-0.923,-0.011,0.002,0.014,0.023,NORMAL
2026-05-02T19:35:35.701,0.313,0.016,-0.945,0.007,0.02,-0.008,0.022,NORMAL
2026-05-02T19:35:36.200,0.33,0.003,-0.991,0.021,0.005,-0.051,0.025,NORMAL
2026-05-02T19:35:36.700,0.316,-0.018,-0.936,0.004,-0.015,0.003,0.027,NORMAL
2026-05-02T19:35:37.201,0.297,0.02,-0.935,-0.015,0.022,0.004,0.028,NORMAL
2026-05-02T19:35:37.701,0.278,-0.013,-0.937,-0.032,-0.011,0.001,0.029,NORMAL
2026-05-02T19:35:38.201,0.295,0.01,-0.95,-0.015,0.012,-0.013,0.03,NORMAL
2026-05-02T19:35:38.700,0.333,0.0,-0.916,0.02,0.003,0.022,0.032,NORMAL
2026-05-02T19:35:39.200,0.303,0.016,-0.877,-0.005,0.019,0.058,0.034,NORMAL
2026-05-02T19:35:39.701,0.308,-0.015,-0.929,0.0,-0.012,0.007,0.032,NORMAL
2026-05-02T19:35:40.201,0.296,0.011,-0.944,-0.013,0.014,-0.007,0.03,NORMAL
2026-05-02T19:35:40.701,0.354,-0.012,-0.954,0.043,-0.009,-0.015,0.032,NORMAL
2026-05-02T19:35:41.200,0.345,-0.006,-0.966,0.034,-0.005,-0.026,0.033,NORMAL
2026-05-02T19:35:41.700,0.326,0.005,-0.965,0.012,0.007,-0.025,0.033,NORMAL
2026-05-02T19:35:42.201,0.335,0.0,-0.944,0.019,0.0,-0.002,0.034,NORMAL
2026-05-02T19:35:42.701,0.286,0.006,-0.916,-0.025,0.006,0.023,0.033,NORMAL
2026-05-02T19:35:43.201,0.322,-0.012,-0.929,0.007,-0.011,0.015,0.035,NORMAL
2026-05-02T19:35:43.700,0.31,-0.017,-0.949,-0.002,-0.016,-0.007,0.035,NORMAL
2026-05-02T19:35:44.200,0.291,0.002,-0.959,-0.021,0.002,-0.017,0.033,NORMAL
2026-05-02T19:35:44.700,0.343,-0.011,-0.97,0.028,-0.011,-0.027,0.033,NORMAL
2026-05-02T19:35:45.200,0.325,-0.01,-0.965,0.011,-0.011,-0.023,0.033,NORMAL
2026-05-02T19:35:45.700,0.327,-0.03,-0.945,0.013,-0.028,-0.005,0.032,NORMAL
2026-05-02T19:35:46.200,0.313,-0.005,-0.994,0.001,-0.004,-0.053,0.031,NORMAL
2026-05-02T19:35:46.700,0.33,0.006,-0.983,0.017,0.007,-0.042,0.031,NORMAL
2026-05-02T19:35:47.200,0.337,-0.007,-0.937,0.022,-0.004,0.004,0.032,NORMAL
2026-05-02T19:35:47.700,0.345,-0.017,-0.957,0.032,-0.016,-0.015,0.032,NORMAL
2026-05-02T19:35:48.200,0.314,0.001,-0.898,-0.001,0.004,0.043,0.032,NORMAL
