timestamp,label,ax,ay,az,vx,vy,vz,rms,status
2026-05-02T20:32:00.542,idle,-0.903,0.368,0.06,0.003,0.009,-0.005,0.013,NORMAL
2026-05-02T20:32:01.041,idle,-0.91,0.355,0.073,-0.005,-0.003,0.008,0.013,NORMAL
2026-05-02T20:32:01.542,idle,-0.913,0.377,0.062,-0.007,0.018,-0.003,0.013,NORMAL
2026-05-02T20:32:02.041,idle,-0.893,0.352,0.067,0.014,-0.006,0.0,0.014,NORMAL
2026-05-02T20:32:02.542,idle,-0.913,0.366,0.081,-0.006,0.011,0.013,0.016,NORMAL
2026-05-02T20:32:03.042,idle,-0.915,0.357,0.074,-0.008,0.002,0.007,0.015,NORMAL
2026-05-02T20:32:03.541,idle,-0.913,0.363,0.069,-0.005,0.007,-0.001,0.016,NORMAL
2026-05-02T20:32:04.042,idle,-0.903,0.357,0.076,0.005,0.0,0.006,0.016,NORMAL
2026-05-02T20:32:04.541,idle,-0.903,0.336,0.06,0.005,-0.02,-0.009,0.016,NORMAL
2026-05-02T20:32:05.041,idle,-0.915,0.351,0.07,-0.008,-0.005,0.001,0.015,NORMAL
2026-05-02T20:32:05.541,idle,-0.903,0.36,0.071,0.004,0.004,0.002,0.014,NORMAL
2026-05-02T20:32:06.041,idle,-0.901,0.338,0.071,0.006,-0.017,0.001,0.013,NORMAL
2026-05-02T20:32:06.541,idle,-0.914,0.365,0.07,-0.007,0.011,0.0,0.011,NORMAL
2026-05-02T20:32:07.041,idle,-0.903,0.357,0.065,0.003,0.002,-0.003,0.011,NORMAL
2026-05-02T20:32:07.541,idle,-0.896,0.35,0.063,0.011,-0.005,-0.005,0.012,NORMAL
2026-05-02T20:32:08.041,idle,-0.9,0.362,0.061,0.005,0.008,-0.006,0.011,NORMAL
2026-05-02T20:32:08.541,idle,-0.906,0.357,0.08,0.0,0.001,0.013,0.011,NORMAL
2026-05-02T20:32:09.041,idle,-0.906,0.355,0.064,0.0,-0.001,-0.003,0.011,NORMAL
2026-05-02T20:32:09.541,idle,-0.909,0.372,0.072,-0.002,0.016,0.004,0.012,NORMAL
2026-05-02T20:32:10.041,idle,-0.909,0.363,0.06,-0.003,0.007,-0.008,0.013,NORMAL
2026-05-02T20:32:10.541,idle,-0.909,0.344,0.067,-0.002,-0.012,-0.001,0.013,NORMAL
2026-05-02T20:32:11.041,idle,-0.91,0.359,0.06,-0.003,0.002,-0.009,0.014,NORMAL
2026-05-02T20:32:11.541,idle,-0.91,0.375,0.084,-0.003,0.016,0.015,0.014,NORMAL
2026-05-02T20:32:12.041,idle,-0.911,0.363,0.088,-0.004,0.003,0.018,0.015,NORMAL
2026-05-02T20:32:12.541,idle,-0.897,0.363,0.054,0.009,0.001,-0.014,0.015,NORMAL
2026-05-02T20:32:13.041,idle,-0.909,0.373,0.075,-0.004,0.011,0.007,0.014,NORMAL
