timestamp,label,ax,ay,az,vx,vy,vz,rms,status
2026-05-02T20:54:23.623,severe_unbalance,-0.905,0.321,0.155,0.009,-0.027,0.067,0.156,WARNING
2026-05-02T20:54:24.123,severe_unbalance,-0.937,0.334,0.151,-0.025,-0.02,0.065,0.151,WARNING
2026-05-02T20:54:24.623,severe_unbalance,-0.924,0.381,0.058,-0.012,0.025,-0.024,0.153,WARNING
2026-05-02T20:54:25.122,severe_unbalance,-0.821,0.494,0.031,0.089,0.145,-0.048,0.154,WARNING
2026-05-02T20:54:25.623,severe_unbalance,-0.857,0.489,0.089,0.048,0.132,0.01,0.156,WARNING
2026-05-02T20:54:26.122,severe_unbalance,-0.898,0.437,0.114,0.013,0.086,0.032,0.161,WARNING
2026-05-02T20:54:26.622,severe_unbalance,-0.807,0.601,0.05,0.1,0.241,-0.028,0.159,WARNING
2026-05-02T20:54:27.122,severe_unbalance,-0.847,0.44,0.065,0.059,0.082,-0.013,0.158,WARNING
2026-05-02T20:54:27.622,severe_unbalance,-0.9,0.394,0.05,0.01,0.042,-0.025,0.16,WARNING
2026-05-02T20:54:28.122,severe_unbalance,-0.939,0.315,0.08,-0.032,-0.038,0.009,0.16,WARNING
2026-05-02T20:54:28.623,severe_unbalance,-0.925,0.309,0.043,-0.021,-0.05,-0.025,0.163,WARNING
2026-05-02T20:54:29.122,severe_unbalance,-0.897,0.341,0.067,0.003,-0.025,-0.003,0.17,WARNING
2026-05-02T20:54:29.622,severe_unbalance,-0.845,0.471,0.032,0.054,0.105,-0.037,0.169,WARNING
2026-05-02T20:54:30.122,severe_unbalance,-0.793,0.622,0.056,0.11,0.256,-0.017,0.179,WARNING
2026-05-02T20:54:30.622,severe_unbalance,-0.866,0.507,0.113,0.039,0.155,0.035,0.188,WARNING
2026-05-02T20:54:31.122,severe_unbalance,-0.823,0.5,0.148,0.085,0.146,0.074,0.193,WARNING
2026-05-02T20:54:31.622,severe_unbalance,-0.913,0.4,0.115,0.0,0.053,0.042,0.19,WARNING
2026-05-02T20:54:32.123,severe_unbalance,-1.018,0.159,0.067,-0.1,-0.182,-0.004,0.196,WARNING
2026-05-02T20:54:32.622,severe_unbalance,-1.022,0.028,0.05,-0.106,-0.311,-0.016,0.203,ALARM
2026-05-02T20:54:33.122,severe_unbalance,-1.005,0.208,0.005,-0.089,-0.136,-0.063,0.201,ALARM
2026-05-02T20:54:33.622,severe_unbalance,-0.927,0.32,0.084,-0.014,-0.026,0.014,0.207,ALARM
2026-05-02T20:54:34.122,severe_unbalance,-0.808,0.553,0.037,0.099,0.201,-0.036,0.202,ALARM
2026-05-02T20:54:34.621,severe_unbalance,-0.845,0.499,0.128,0.068,0.154,0.051,0.202,ALARM
2026-05-02T20:54:35.122,severe_unbalance,-0.82,0.493,0.048,0.09,0.142,-0.026,0.197,WARNING
2026-05-02T20:54:35.621,severe_unbalance,-0.974,0.286,0.097,-0.056,-0.056,0.018,0.205,ALARM
2026-05-02T20:54:36.122,severe_unbalance,-1.008,0.067,0.04,-0.095,-0.279,-0.033,0.204,ALARM
2026-05-02T20:54:36.622,severe_unbalance,-0.93,0.19,0.036,-0.014,-0.153,-0.04,0.192,WARNING
2026-05-02T20:54:37.122,severe_unbalance,-0.911,0.372,0.038,-0.001,0.019,-0.033,0.196,WARNING
2026-05-02T20:54:37.621,severe_unbalance,-0.843,0.51,0.061,0.064,0.154,-0.007,0.196,WARNING
2026-05-02T20:54:38.121,severe_unbalance,-0.787,0.655,0.054,0.124,0.302,-0.019,0.206,ALARM
2026-05-02T20:54:38.621,severe_unbalance,-0.847,0.55,0.132,0.063,0.205,0.061,0.213,ALARM
2026-05-02T20:54:39.121,severe_unbalance,-0.823,0.414,0.059,0.086,0.07,-0.011,0.211,ALARM
2026-05-02T20:54:39.621,severe_unbalance,-1.09,-0.044,0.089,-0.179,-0.384,0.02,0.223,ALARM
2026-05-02T20:54:40.121,severe_unbalance,-0.977,0.209,-0.008,-0.068,-0.144,-0.075,0.226,ALARM
2026-05-02T20:54:40.621,severe_unbalance,-0.896,0.406,0.079,0.008,0.047,0.013,0.229,ALARM
2026-05-02T20:54:41.120,severe_unbalance,-0.774,0.639,0.072,0.133,0.28,0.001,0.232,ALARM
2026-05-02T20:54:41.620,severe_unbalance,-0.831,0.556,0.125,0.073,0.201,0.054,0.234,ALARM
2026-05-02T20:54:42.121,severe_unbalance,-0.86,0.359,0.031,0.047,0.011,-0.042,0.217,ALARM
2026-05-02T20:54:42.621,severe_unbalance,-1.08,-0.007,0.004,-0.173,-0.353,-0.065,0.227,ALARM
