timestamp_ms,ax,ay,az,rms,status
119056,-0.929,0.048,0.059,0.006,NORMAL
119656,-0.941,0.053,0.067,0.006,NORMAL
120256,-0.933,0.048,0.064,0.006,NORMAL
120856,-0.936,0.049,0.063,0.006,NORMAL
121456,-0.935,0.047,0.068,0.007,NORMAL
122056,-0.93,0.053,0.056,0.006,NORMAL
122656,-0.931,0.049,0.066,0.007,NORMAL
123256,-0.939,0.056,0.059,0.007,NORMAL
123856,-0.929,0.05,0.05,0.007,NORMAL
124456,-0.935,0.047,0.061,0.007,NORMAL
125056,-0.935,0.053,0.055,0.008,NORMAL
125656,-0.935,0.048,0.068,0.008,NORMAL
126256,-0.943,0.046,0.051,0.008,NORMAL
126856,-0.935,0.047,0.065,0.008,NORMAL
127456,-0.934,0.045,0.065,0.008,NORMAL
128056,-0.938,0.046,0.061,0.008,NORMAL
128656,-0.933,0.049,0.062,0.007,NORMAL
129256,-0.937,0.045,0.062,0.007,NORMAL
129856,-0.939,0.047,0.058,0.007,NORMAL
130456,-0.942,0.05,0.063,0.007,NORMAL
131056,-0.94,0.044,0.047,0.007,NORMAL
131656,-0.939,0.049,0.058,0.007,NORMAL
132256,-0.94,0.052,0.067,0.008,NORMAL
132856,-0.941,0.049,0.063,0.007,NORMAL
133456,-0.934,0.043,0.058,0.007,NORMAL
134056,-0.935,0.052,0.055,0.008,NORMAL
134656,-0.935,0.048,0.057,0.008,NORMAL
135256,-0.938,0.052,0.054,0.008,NORMAL
135856,-0.926,0.048,0.06,0.008,NORMAL
136456,-0.938,0.056,0.068,0.008,NORMAL
137056,-0.935,0.052,0.059,0.008,NORMAL
137656,-0.934,0.05,0.064,0.008,NORMAL
138256,-0.927,0.045,0.07,0.008,NORMAL
138856,-0.934,0.045,0.067,0.008,NORMAL
139456,-0.934,0.044,0.055,0.008,NORMAL
