timestamp_ms,ax,ay,az,rms,status
257656,-0.913,0.095,-0.032,0.087,WARNING
258256,-0.944,0.08,0.102,0.086,WARNING
258856,-1.022,0.063,-0.06,0.091,WARNING
259456,-0.929,0.029,0.216,0.095,WARNING
260056,-0.927,0.108,-0.057,0.097,WARNING
260656,-0.891,0.112,0.071,0.103,WARNING
261256,-0.89,0.101,-0.055,0.112,WARNING
261856,-0.878,0.097,-0.095,0.115,WARNING
262456,-1.016,0.086,0.037,0.114,WARNING
263056,-0.99,0.134,0.096,0.115,WARNING
263656,-0.957,0.093,-0.135,0.12,WARNING
264256,-0.959,0.065,0.12,0.123,WARNING
264856,-0.933,0.171,-0.022,0.128,WARNING
265456,-0.904,-0.023,0.056,0.129,WARNING
266056,-0.99,0.106,0.083,0.122,WARNING
266656,-0.906,0.076,-0.074,0.127,WARNING
267256,-0.952,0.052,0.098,0.132,WARNING
267856,-0.925,0.205,0.062,0.135,WARNING
268456,-0.974,0.048,0.035,0.13,WARNING
269056,-0.928,0.144,0.243,0.129,WARNING
269656,-0.914,0.093,-0.047,0.125,WARNING
270256,-0.901,0.107,0.089,0.121,WARNING
270856,-0.867,0.147,-0.062,0.125,WARNING
271456,-0.841,0.097,-0.045,0.12,WARNING
272056,-0.962,0.102,0.122,0.115,WARNING
272656,-0.944,0.14,0.108,0.113,WARNING
273256,-0.926,0.094,0.035,0.111,WARNING
273856,-0.938,0.102,-0.074,0.113,WARNING
274456,-0.837,0.126,0.048,0.114,WARNING
275056,-0.984,0.094,0.123,0.116,WARNING
275656,-0.923,0.081,-0.08,0.114,WARNING
276256,-0.889,0.107,0.077,0.115,WARNING
276856,-0.903,0.086,-0.072,0.117,WARNING
277456,-0.853,0.202,0.013,0.116,WARNING
278056,-0.806,0.029,0.141,0.128,WARNING
278656,-1.013,0.074,0.042,0.12,WARNING
279256,-0.88,0.102,-0.079,0.123,WARNING
279856,-0.946,0.059,0.086,0.126,WARNING
280456,-0.975,0.172,-0.027,0.123,WARNING
281056,-0.897,0.041,0.064,0.121,WARNING
281656,-0.944,0.033,0.113,0.119,WARNING
282256,-0.891,0.142,-0.125,0.123,WARNING
282856,-0.93,0.094,0.169,0.113,WARNING
