timestamp_ms,ax,ay,az,rms,status
29056,-0.941,0.051,0.042,0.014,NORMAL
29656,-0.93,0.05,0.052,0.014,NORMAL
30256,-0.93,0.042,0.068,0.015,NORMAL
30856,-0.936,0.048,0.041,0.015,NORMAL
31456,-0.944,0.042,0.066,0.016,NORMAL
32056,-0.937,0.048,0.061,0.015,NORMAL
32656,-0.936,0.051,0.057,0.015,NORMAL
33256,-0.937,0.047,0.042,0.015,NORMAL
33856,-0.937,0.047,0.063,0.016,NORMAL
34456,-0.925,0.054,0.064,0.016,NORMAL
35056,-0.939,0.05,0.052,0.015,NORMAL
35656,-0.936,0.05,0.045,0.015,NORMAL
36256,-0.94,0.053,0.058,0.012,NORMAL
36856,-0.937,0.054,0.049,0.012,NORMAL
37456,-0.936,0.047,0.069,0.014,NORMAL
38056,-0.936,0.04,0.046,0.014,NORMAL
38656,-0.934,0.052,0.065,0.013,NORMAL
39256,-0.928,0.052,0.058,0.013,NORMAL
39856,-0.93,0.048,0.06,0.013,NORMAL
40456,-0.936,0.053,0.054,0.013,NORMAL
41056,-0.938,0.046,0.075,0.013,NORMAL
41656,-0.941,0.046,0.012,0.015,NORMAL
42256,-0.935,0.05,0.051,0.014,NORMAL
42856,-0.938,0.056,0.063,0.014,NORMAL
43456,-0.935,0.049,0.053,0.014,NORMAL
44056,-0.936,0.044,0.067,0.015,NORMAL
44656,-0.934,0.047,0.046,0.015,NORMAL
45256,-0.934,0.052,0.042,0.015,NORMAL
45856,-0.938,0.05,0.029,0.016,NORMAL
46456,-0.942,0.052,0.04,0.016,NORMAL
47056,-0.938,0.055,0.038,0.015,NORMAL
47656,-0.94,0.05,0.044,0.015,NORMAL
48256,-0.934,0.053,0.048,0.015,NORMAL
48856,-0.923,0.045,0.086,0.015,NORMAL
49456,-0.931,0.056,0.06,0.016,NORMAL
50056,-0.929,0.056,0.05,0.015,NORMAL
50656,-0.93,0.051,0.07,0.015,NORMAL
