timestamp_ms,ax,ay,az,rms,status
422656,-0.867,0.025,0.237,0.271,ALARM
423256,-0.89,0.062,0.13,0.238,ALARM
423856,-0.995,0.067,0.336,0.251,ALARM
424456,-0.728,-0.018,0.059,0.243,ALARM
425056,-0.875,0.035,0.136,0.242,ALARM
425656,-0.83,0.009,0.04,0.231,ALARM
426256,-0.812,0.024,0.029,0.219,ALARM
426856,-0.609,-0.054,0.113,0.212,ALARM
427456,-0.894,0.081,0.173,0.216,ALARM
428056,-0.776,-0.067,0.195,0.214,ALARM
428656,-0.744,0.059,0.021,0.195,ALARM
429256,-0.719,-0.196,-0.092,0.265,ALARM
429856,-0.901,-0.068,0.259,0.268,ALARM
430456,-1.007,-0.044,0.441,0.277,ALARM
431056,-0.934,-0.014,0.037,0.276,ALARM
431656,-1.052,0.088,0.133,0.279,ALARM
432256,-1.61,0.392,0.374,0.32,ALARM
432856,-0.867,-0.02,0.041,0.331,ALARM
433456,-0.938,0.124,0.22,0.337,ALARM
434056,-0.874,0.121,0.066,0.293,ALARM
434656,-0.877,-0.159,-0.085,0.302,ALARM
435256,-0.772,-0.074,-0.085,0.292,ALARM
435856,-0.948,-0.01,-0.324,0.321,ALARM
436456,-1.444,-0.271,-0.198,0.392,ALARM
437056,-0.854,0.058,-0.085,0.392,ALARM
437656,-0.804,0.095,0.188,0.407,ALARM
438256,-0.952,-0.401,0.001,0.41,ALARM
438856,-0.674,-0.092,-0.122,0.424,ALARM
439456,-0.875,-0.037,-0.03,0.422,ALARM
440056,-0.817,-0.286,0.164,0.429,ALARM
440656,-0.996,-0.008,-0.153,0.411,ALARM
441256,-0.76,0.22,-0.032,0.356,ALARM
441856,-0.893,0.156,-0.179,0.332,ALARM
442456,-1.133,-0.175,0.058,0.312,ALARM
443056,-0.758,0.242,0.051,0.311,ALARM
443656,-1.01,0.002,-0.146,0.294,ALARM
444256,-1.326,-0.031,0.158,0.293,ALARM
444856,-0.771,0.005,0.026,0.287,ALARM
445456,-0.844,0.345,0.148,0.306,ALARM
446056,-0.784,0.277,0.059,0.288,ALARM
446656,-0.946,0.333,0.163,0.272,ALARM
447256,-0.887,0.136,0.329,0.255,ALARM
447856,-0.958,0.01,0.113,0.246,ALARM
448456,-0.92,-0.041,0.066,0.234,ALARM
449056,-0.967,0.029,0.0,0.227,ALARM
449656,-0.939,0.01,0.115,0.224,ALARM
450256,-1.023,0.123,0.058,0.181,ALARM
